Time[s], 通道 0, 通道 1, 通道 3, 通道 4, 通道 5, 通道 6
0.075980000, 0, 0, 0, 1, 0, 0
0.076040000, 0, 0, 1, 1, 0, 0
0.076250000, 0, 0, 0, 1, 0, 0
0.076400000, 0, 0, 0, 0, 0, 0
0.076460000, 0, 0, 1, 0, 0, 0
0.076670000, 0, 0, 0, 0, 0, 0
0.076810000, 0, 0, 0, 1, 0, 0
0.076870000, 0, 0, 1, 1, 0, 0
0.077080000, 0, 0, 0, 1, 0, 0
0.077230000, 0, 0, 0, 0, 0, 0
0.077290000, 0, 0, 1, 0, 0, 0
0.077500000, 0, 0, 0, 0, 0, 0
0.077650000, 0, 0, 0, 1, 0, 0
0.077710000, 0, 0, 1, 1, 0, 0
0.077920000, 0, 0, 0, 1, 0, 0
0.078070000, 0, 0, 0, 0, 0, 0
0.078120000, 0, 0, 1, 0, 0, 0
0.078330000, 0, 0, 0, 0, 0, 0
0.078490000, 0, 0, 0, 1, 0, 0
0.078540000, 0, 0, 1, 1, 0, 0
0.078750000, 0, 0, 0, 1, 0, 0
0.078910000, 0, 0, 0, 0, 0, 0
0.078960000, 0, 0, 1, 0, 0, 0
0.079170000, 0, 0, 0, 0, 0, 0
0.079320000, 0, 0, 0, 1, 0, 0
0.079370000, 0, 0, 1, 1, 0, 0
0.079570000, 0, 0, 0, 0, 0, 0
0.079890000, 0, 0, 1, 0, 0, 0
0.080000000, 0, 0, 0, 0, 0, 0
0.080100000, 0, 0, 1, 0, 0, 0
0.080200000, 0, 0, 0, 0, 0, 0
0.080210000, 0, 0, 0, 1, 0, 0
0.080300000, 0, 0, 1, 1, 0, 0
0.080410000, 0, 0, 0, 1, 0, 0
0.080420000, 0, 0, 0, 0, 0, 0
0.080510000, 0, 0, 1, 0, 0, 0
0.080620000, 0, 0, 0, 1, 0, 0
0.080720000, 0, 0, 1, 1, 0, 0
0.080820000, 0, 0, 0, 1, 0, 0
0.080830000, 0, 0, 0, 0, 0, 0
0.080920000, 0, 0, 1, 0, 0, 0
0.081030000, 0, 0, 0, 0, 0, 0
0.081040000, 0, 0, 0, 1, 0, 0
0.081130000, 0, 0, 1, 1, 0, 0
0.081240000, 0, 0, 0, 1, 0, 0
0.081250000, 0, 0, 0, 0, 0, 0
0.081340000, 0, 0, 1, 0, 0, 0
0.081440000, 0, 0, 0, 0, 0, 0
0.081460000, 0, 0, 0, 1, 0, 0
0.081540000, 0, 0, 1, 1, 0, 0
0.081650000, 0, 0, 0, 1, 0, 0
0.081670000, 0, 0, 0, 0, 0, 0
0.081750000, 0, 0, 1, 0, 0, 0
0.081860000, 0, 0, 0, 0, 0, 0
0.081870000, 0, 0, 0, 1, 0, 0
0.081960000, 0, 0, 1, 1, 0, 0
0.082060000, 0, 0, 0, 1, 0, 0
0.082080000, 0, 0, 0, 0, 0, 0
0.082160000, 0, 0, 1, 0, 0, 0
0.082270000, 0, 0, 0, 0, 0, 0
0.082290000, 0, 0, 0, 1, 0, 0
0.082370000, 0, 0, 1, 1, 0, 0
0.082480000, 0, 0, 0, 1, 0, 0
0.082500000, 0, 0, 0, 0, 0, 0
0.082580000, 0, 0, 1, 0, 0, 0
0.082680000, 0, 0, 0, 0, 0, 0
0.082710000, 0, 0, 0, 1, 0, 0
0.082780000, 0, 0, 1, 1, 0, 0
0.082890000, 0, 0, 0, 1, 0, 0
0.082920000, 0, 0, 0, 0, 0, 0
0.082990000, 0, 0, 1, 0, 0, 0
0.083100000, 0, 0, 0, 0, 0, 0
0.083120000, 0, 0, 0, 1, 0, 0
0.083200000, 0, 0, 1, 1, 0, 0
0.083300000, 0, 0, 0, 1, 0, 0
0.083330000, 0, 0, 0, 0, 0, 0
0.083400000, 0, 0, 1, 0, 0, 0
0.083510000, 0, 0, 0, 0, 0, 0
0.083540000, 0, 0, 0, 1, 0, 0
0.083610000, 0, 0, 1, 1, 0, 0
0.083720000, 0, 0, 0, 1, 0, 0
0.083750000, 0, 0, 0, 0, 0, 0
0.083820000, 0, 0, 1, 0, 0, 0
0.083920000, 0, 0, 0, 0, 0, 0
0.083960000, 0, 0, 0, 1, 0, 0
0.084020000, 0, 0, 1, 1, 0, 0
0.084130000, 0, 0, 0, 1, 0, 0
0.084170000, 0, 0, 0, 0, 0, 0
0.084230000, 0, 0, 1, 0, 0, 0
0.084340000, 0, 0, 0, 0, 0, 0
0.084370000, 0, 0, 0, 1, 0, 0
0.084440000, 0, 0, 1, 1, 0, 0
0.084540000, 0, 0, 0, 1, 0, 0
0.084580000, 0, 0, 0, 0, 0, 0
0.084640000, 0, 0, 1, 0, 0, 0
0.084750000, 0, 0, 0, 0, 0, 0
0.084790000, 0, 0, 0, 1, 0, 0
0.084850000, 0, 0, 1, 1, 0, 0
0.084960000, 0, 0, 0, 1, 0, 0
0.085000000, 0, 0, 0, 0, 0, 0
0.085060000, 0, 0, 1, 0, 0, 0
0.085160000, 0, 0, 0, 0, 0, 0
0.085210000, 0, 0, 0, 1, 0, 0
0.085260000, 0, 0, 1, 1, 0, 0
0.085370000, 0, 0, 0, 1, 0, 0
0.085420000, 0, 0, 0, 0, 0, 0
0.085470000, 0, 0, 1, 0, 0, 0
0.085580000, 0, 0, 0, 0, 0, 0
0.085620000, 0, 0, 0, 1, 0, 0
0.085680000, 0, 0, 1, 1, 0, 0
0.085780000, 0, 0, 0, 1, 0, 0
0.085840000, 0, 0, 0, 0, 0, 0
0.085880000, 0, 0, 1, 0, 0, 0
0.085990000, 0, 0, 0, 0, 0, 0
0.086040000, 0, 0, 0, 1, 0, 0
0.086090000, 0, 0, 1, 1, 0, 0
0.086200000, 0, 0, 0, 1, 0, 0
0.086250000, 0, 0, 0, 0, 0, 0
0.086300000, 0, 0, 1, 0, 0, 0
0.086400000, 0, 0, 0, 0, 0, 0
0.086460000, 0, 0, 0, 1, 0, 0
0.086500000, 0, 0, 1, 1, 0, 0
0.086610000, 0, 0, 0, 1, 0, 0
0.086670000, 0, 0, 0, 0, 0, 0
0.086710000, 0, 0, 1, 0, 0, 0
0.086820000, 0, 0, 0, 0, 0, 0
0.086880000, 0, 0, 0, 1, 0, 0
0.086920000, 0, 0, 1, 1, 0, 0
0.087020000, 0, 0, 0, 1, 0, 0
0.087090000, 0, 0, 0, 0, 0, 0
0.087120000, 0, 0, 1, 0, 0, 0
0.087230000, 0, 0, 0, 0, 0, 0
0.087290000, 0, 0, 0, 1, 0, 0
0.087330000, 0, 0, 1, 1, 0, 0
0.087440000, 0, 0, 0, 1, 0, 0
0.087500000, 0, 0, 0, 0, 0, 0
0.087540000, 0, 0, 1, 0, 0, 0
0.087650000, 0, 0, 0, 0, 0, 0
0.087710000, 0, 0, 0, 1, 0, 0
0.087750000, 0, 0, 1, 1, 0, 0
0.087850000, 0, 0, 0, 1, 0, 0
0.087920000, 0, 0, 0, 0, 0, 0
0.087950000, 0, 0, 1, 0, 0, 0
0.088060000, 0, 0, 0, 0, 0, 0
0.088130000, 0, 0, 0, 1, 0, 0
0.088160000, 0, 0, 1, 1, 0, 0
0.088270000, 0, 0, 0, 1, 0, 0
0.088340000, 0, 0, 0, 0, 0, 0
0.088370000, 0, 0, 1, 0, 0, 0
0.088470000, 0, 0, 0, 0, 0, 0
0.088540000, 0, 0, 0, 1, 0, 0
0.088570000, 0, 0, 1, 1, 0, 0
0.088680000, 0, 0, 0, 1, 0, 0
0.088750000, 0, 0, 0, 0, 0, 0
0.088780000, 0, 0, 1, 0, 0, 0
0.088890000, 0, 0, 0, 0, 0, 0
0.088960000, 0, 0, 0, 1, 0, 0
0.088990000, 0, 0, 1, 1, 0, 0
0.089090000, 0, 0, 0, 1, 0, 0
0.089170000, 0, 0, 0, 0, 0, 0
0.089190000, 0, 0, 1, 0, 0, 0
0.089300000, 0, 0, 0, 0, 0, 0
0.089380000, 0, 0, 0, 1, 0, 0
0.089400000, 0, 0, 1, 1, 0, 0
0.089510000, 0, 0, 0, 1, 0, 0
0.089590000, 0, 0, 0, 0, 0, 0
0.089610000, 0, 0, 1, 0, 0, 0
0.089710000, 0, 0, 0, 0, 0, 0
0.089790000, 0, 0, 0, 1, 0, 0
0.089810000, 0, 0, 1, 1, 0, 0
0.089920000, 0, 0, 0, 1, 0, 0
0.090000000, 0, 0, 0, 0, 0, 0
0.090020000, 0, 0, 1, 0, 0, 0
0.090130000, 0, 0, 0, 0, 0, 0
0.090210000, 0, 0, 0, 1, 0, 0
